City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Robertsport,LR,79.2,Clouds,6.7533,-11.3686,Kwepunha Retreat
2,Hambantota,LK,82.71,Clouds,6.1241,81.1185,Bungalow 63
5,Zhuhai,CN,76.78,Clouds,22.2769,113.5678,珠海粤财假日酒店
6,Mahebourg,MU,75.49,Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
7,Butaritari,KI,81.27,Clouds,3.0707,172.7902,Isles Sunset Lodge
22,Forecariah,GN,85.08,Clouds,9.4306,-13.0881,"Motel "" La Maison Blanche"""
35,Bali,ID,79.77,Clouds,-8.5,115.0,Pondok Pitaya
37,Moa,CU,86.77,Clear,20.6569,-74.9403,Carmen
44,Bathsheba,BB,86.61,Clouds,13.2167,-59.5167,Atlantis Hotel
48,Buala,SB,79.97,Rain,-8.145,159.5921,Maringe Lagoon Lodge
52,Atuona,PF,78.91,Clouds,-9.8,-139.0333,Villa Enata
53,Victoria,HK,77.38,Clouds,22.2855,114.1577,Mini Hotel Central
56,Baixa Grande,BR,88.56,Clear,-11.9597,-40.1681,Pousada Requinte
60,Naliya,IN,81.88,Clear,23.2667,68.8333,jadeja jayendrasinh
64,Hilo,US,78.28,Rain,19.7297,-155.09,Hilo Hawaiian Hotel
70,Bengkulu,ID,78.08,Clouds,-3.8004,102.2655,Grage Hotel Bengkulu
78,Rikitea,PF,76.48,Rain,-23.1203,-134.9692,People ThankYou
84,Saint George,US,77.43,Clear,37.1041,-113.5841,Best Western Plus Abbey Inn
86,Srandakan,ID,78.1,Clouds,-7.9386,110.2506,Puri Brata
87,Gambela,ET,79.09,Clouds,8.25,34.5833,Solomon Debebe Hotel
89,Georgetown,MY,82.33,Rain,5.4112,100.3354,Cititel Penang
98,Avarua,CK,80.65,Clouds,-21.2078,-159.775,Paradise Inn
99,Paka,MY,80.53,Clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
110,Auki,SB,78.24,Clouds,-8.7676,160.7034,Auki Motel
125,Jaggayyapeta,IN,86.04,Clouds,16.9,80.1,A P S Resorts & Hotels Pvt Ltd
137,Awjilah,LY,83.01,Clear,29.1081,21.2869,المنزل
139,Puerto Ayora,EC,78.76,Clear,-0.7393,-90.3518,Finch Bay Galapagos Hotel
141,Praxedis Guerrero,MX,78.26,Clear,31.3667,-106.0167,Congregación placitas de Otero
144,Ugoofaaru,MV,84.6,Clouds,5.6667,73.0,Ungoofaaru Inn
146,Savannah Bight,HN,81.9,Clouds,16.45,-85.85,Villa on Dunbar Rock
150,Coahuayana,MX,87.1,Clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
157,Presidencia Roque Saenz Pena,AR,78.66,Clear,-26.7852,-60.4388,Hotel Gualok
166,Romitan,UZ,82.35,Clear,39.9343,64.3814,Hotel Temur
