City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Robertsport,LR,6.7533,-11.3686,79.2,79,100,5.17,Clouds
1,Lavrentiya,RU,65.5833,-171.0,29.82,97,100,2.59,Snow
2,Hambantota,LK,6.1241,81.1185,82.71,83,100,19.84,Clouds
3,Harrismith,ZA,-28.2728,29.1295,44.6,88,92,4.41,Clouds
4,Northam,GB,51.0333,-4.2167,60.66,71,84,10.13,Clouds
5,Zhuhai,CN,22.2769,113.5678,76.78,78,40,9.22,Clouds
6,Mahebourg,MU,-20.4081,57.7,75.49,83,40,5.75,Clouds
7,Butaritari,KI,3.0707,172.7902,81.27,81,29,16.67,Clouds
8,Anadyr,RU,64.75,177.4833,32.5,100,100,8.95,Snow
9,Zhangjiakou,CN,40.81,114.8794,49.8,68,100,3.62,Rain
10,Coquimbo,CL,-29.9533,-71.3436,62.33,67,100,6.91,Clouds
11,Lompoc,US,34.6391,-120.4579,64.56,68,0,25.32,Clear
12,Masuda,JP,34.6667,131.85,58.64,75,87,2.89,Clouds
13,Ust-Kan,RU,50.9276,84.761,31.32,60,1,2.42,Clear
14,East London,ZA,-33.0153,27.9116,61.74,82,0,8.05,Clear
15,Broome,US,42.2506,-75.833,62.62,31,11,8.01,Clouds
16,Kodiak,US,57.79,-152.4072,44.11,49,0,11.5,Clear
17,Kemijarvi,FI,66.7131,27.4306,39.52,57,90,6.93,Clouds
18,Vaini,TO,-21.2,-175.2,73.56,88,20,5.75,Clouds
19,Punta Arenas,CL,-53.15,-70.9167,44.71,61,40,36.82,Clouds
20,Concord,US,37.978,-122.0311,58.98,57,20,19.57,Clouds
21,Yellowknife,CA,62.456,-114.3525,30.72,80,100,27.63,Clouds
22,Forecariah,GN,9.4306,-13.0881,85.08,69,100,9.13,Clouds
23,Banos,EC,-1.4,-78.4167,57.67,81,99,3.04,Rain
24,Seymchan,RU,62.8833,152.4333,22.75,93,10,4.38,Clear
25,Ushuaia,AR,-54.8,-68.3,40.66,81,40,35.68,Drizzle
26,Mataura,NZ,-46.1927,168.8643,48.47,98,82,1.52,Clouds
27,Tsabong,BW,-26.0217,22.401,59.7,25,0,8.63,Clear
28,Castro,BR,-24.7911,-50.0119,67.42,55,17,4.99,Clouds
29,Port Elizabeth,ZA,-33.918,25.5701,63.32,74,75,10.36,Clouds
30,Bredasdorp,ZA,-34.5322,20.0403,56.17,83,91,3.78,Clouds
31,Kaitangata,NZ,-46.2817,169.8464,52.45,96,100,0.98,Clouds
32,Tsybli,UA,49.9948,31.5628,58.66,71,96,7.27,Clouds
33,Nikolskoye,RU,59.7035,30.7861,46.71,74,60,5.06,Rain
34,Gorzow Wielkopolski,PL,52.7368,15.2288,67.39,31,12,1.99,Clouds
35,Bali,ID,-8.5,115.0,79.77,90,88,4.0,Clouds
36,Camana,PE,-16.6228,-72.7111,70.77,72,22,11.65,Clouds
37,Moa,CU,20.6569,-74.9403,86.77,56,4,2.64,Clear
38,San Quintin,MX,30.4833,-115.95,62.78,65,67,16.08,Clouds
39,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,80,75,13.8,Clouds
40,Port Hedland,AU,-20.3167,118.5667,69.85,68,82,6.91,Clouds
41,Verkhnyaya Inta,RU,65.9811,60.3094,45.72,79,78,13.15,Clouds
42,Harnosand,SE,62.6323,17.9379,48.22,49,100,11.12,Clouds
43,Cherskiy,RU,68.75,161.3,7.75,96,93,3.36,Clouds
44,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,16.11,Clouds
45,Ken Caryl,US,39.5773,-105.1169,65.93,38,8,11.99,Clear
46,Chilca,PE,-12.5211,-76.7372,68.27,80,84,5.23,Clouds
47,Kushmurun,KZ,52.4503,64.6311,53.35,29,27,7.85,Clouds
48,Buala,SB,-8.145,159.5921,79.97,86,97,8.05,Rain
49,Idah,NG,7.1065,6.7342,93.69,46,97,10.42,Clouds
50,Misratah,LY,32.3754,15.0925,64.71,76,32,15.5,Clouds
51,Saskylakh,RU,71.9167,114.0833,10.29,92,81,13.42,Clouds
52,Atuona,PF,-9.8,-139.0333,78.91,72,48,16.84,Clouds
53,Victoria,HK,22.2855,114.1577,77.38,80,100,10.0,Clouds
54,Hachinohe,JP,40.5,141.5,45.79,73,23,9.57,Clouds
55,Xai-Xai,MZ,-25.0519,33.6442,72.41,82,5,9.35,Clear
56,Baixa Grande,BR,-11.9597,-40.1681,88.56,28,4,11.34,Clear
57,Albany,US,42.6001,-73.9662,61.45,31,65,3.0,Clouds
58,Carnarvon,AU,-24.8667,113.6333,66.27,88,0,5.75,Clear
59,Rosetta,EG,31.4044,30.4164,68.38,60,32,19.82,Clouds
60,Naliya,IN,23.2667,68.8333,81.88,76,0,10.94,Clear
61,Opuwo,NA,-18.0607,13.84,73.35,28,0,5.28,Clear
62,Khatanga,RU,71.9667,102.5,5.88,97,19,9.6,Clouds
63,Belen,TR,36.4891,36.2233,62.74,56,20,18.41,Clouds
64,Hilo,US,19.7297,-155.09,78.28,94,100,6.91,Rain
