City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-05-08 14:05:21,-54.8,-68.3,40.66,87,75,35.68
1,Severo-Kurilsk,RU,2022-05-08 14:06:39,50.6789,156.125,38.46,94,100,16.93
2,Mount Isa,AU,2022-05-08 14:06:40,-20.7333,139.5,69.57,52,10,9.22
3,Airai,TL,2022-05-08 14:05:22,-8.9266,125.4092,59.83,92,47,3.94
4,Cockburn Town,TC,2022-05-08 14:03:16,21.4612,-71.1419,79.32,80,0,13.73
5,Kapaa,US,2022-05-08 14:05:17,22.0752,-159.319,73.72,86,100,14.97
6,Pisco,PE,2022-05-08 14:05:09,-13.7,-76.2167,66.25,82,51,5.75
7,Narsaq,GL,2022-05-08 14:06:41,60.9167,-46.05,53.82,75,100,4.18
8,Loa Janan,ID,2022-05-08 14:06:41,-0.583,117.095,76.05,96,92,2.01
9,Zyryanka,RU,2022-05-08 14:06:42,65.75,150.85,27.5,85,37,8.99
10,Mar Del Plata,AR,2022-05-08 14:06:42,-38.0023,-57.5575,64.94,73,0,17.27
11,Tuktoyaktuk,CA,2022-05-08 14:00:50,69.4541,-133.0374,31.95,92,100,12.21
12,Hermanus,ZA,2022-05-08 14:06:42,-34.4187,19.2345,69.8,62,100,4.27
13,Omboue,GA,2022-05-08 14:06:43,-1.5746,9.2618,83.21,77,80,10.76
14,Kruisfontein,ZA,2022-05-08 14:06:43,-34.0033,24.7314,63.88,49,3,9.48
15,Ayagoz,KZ,2022-05-08 14:06:44,47.9714,80.4392,48.51,28,100,22.79
16,Rikitea,PF,2022-05-08 14:06:44,-23.1203,-134.9692,76.73,79,40,19.86
17,Bredasdorp,ZA,2022-05-08 14:06:45,-34.5322,20.0403,63.77,58,100,5.75
18,Nikolskoye,RU,2022-05-08 14:06:45,59.7035,30.7861,51.71,46,53,12.86
19,Moron,AR,2022-05-08 14:06:46,-34.6534,-58.6198,69.96,67,1,8.72
20,Havoysund,NO,2022-05-08 14:06:46,70.9963,24.6622,35.83,62,100,16.58
21,Nkoteng,CM,2022-05-08 14:06:46,4.5167,12.0333,88.2,48,100,2.93
22,Mokshan,RU,2022-05-08 14:06:47,53.4365,44.6132,56.19,40,92,5.7
23,Vardo,NO,2022-05-08 14:06:47,70.3705,31.1107,35.58,64,75,13.8
24,New Norfolk,AU,2022-05-08 14:05:26,-42.7826,147.0587,42.71,73,30,2.37
25,Yellowknife,CA,2022-05-08 14:06:48,62.456,-114.3525,32.56,94,100,25.01
26,Bethel,US,2022-05-08 14:06:48,41.3712,-73.414,54.46,57,0,13.8
27,Buala,SB,2022-05-08 14:06:49,-8.145,159.5921,80.69,84,94,8.55
28,Mazyr,BY,2022-05-08 14:06:49,52.0495,29.2456,64.8,58,65,9.53
29,Lagoa,PT,2022-05-08 14:06:50,39.05,-27.9833,61.12,69,82,8.03
30,Sur,OM,2022-05-08 14:06:50,22.5667,59.5289,90.05,50,0,2.21
31,Khatanga,RU,2022-05-08 14:06:50,71.9667,102.5,13.73,93,22,10.16
32,Hilo,US,2022-05-08 14:06:51,19.7297,-155.09,75.27,93,100,4.61
33,Karratha,AU,2022-05-08 14:06:51,-20.7377,116.8463,79.29,61,97,5.5
34,Arraial Do Cabo,BR,2022-05-08 14:06:52,-22.9661,-42.0278,73.26,83,75,9.22
35,Port Alfred,ZA,2022-05-08 14:00:44,-33.5906,26.891,65.17,80,93,5.99
36,Albany,US,2022-05-08 14:05:32,42.6001,-73.9662,54.25,38,37,1.99
37,Ahipara,NZ,2022-05-08 14:06:52,-35.1667,173.1667,61.66,86,95,5.97
38,Hobart,AU,2022-05-08 14:06:53,-42.8794,147.3294,43.05,88,24,5.75
39,Chino Valley,US,2022-05-08 14:06:53,34.7575,-112.4538,62.58,28,0,10.36
40,Chuy,UY,2022-05-08 14:06:54,-33.6971,-53.4616,65.5,60,5,8.03
41,Jamestown,US,2022-05-08 14:03:40,42.097,-79.2353,55.02,37,0,5.75
42,Qaanaaq,GL,2022-05-08 14:06:54,77.484,-69.3632,24.44,60,100,1.48
43,Ribeira Grande,PT,2022-05-08 14:06:55,38.5167,-28.7,66.6,68,20,11.5
44,Comodoro Rivadavia,AR,2022-05-08 14:06:55,-45.8667,-67.5,60.66,31,0,26.46
45,Cascais,PT,2022-05-08 14:06:55,38.6979,-9.4215,86.61,28,20,4.61
46,Ormara,PK,2022-05-08 14:06:56,25.2088,64.6357,82.65,80,0,20.13
47,Vila Velha,BR,2022-05-08 14:07:56,-20.3297,-40.2925,80.55,65,40,18.41
48,Lebu,CL,2022-05-08 14:07:57,-37.6167,-73.65,56.8,90,99,8.61
49,Baykit,RU,2022-05-08 14:07:57,61.67,96.37,25.18,82,92,10.8
50,Cueto,CU,2022-05-08 14:07:58,20.6439,-75.9356,84.72,60,0,11.5
51,Puerto Ayora,EC,2022-05-08 14:07:58,-0.7393,-90.3518,75.16,82,6,10.76
52,Punta Arenas,CL,2022-05-08 14:05:30,-53.15,-70.9167,42.91,65,40,31.07
53,Mataura,NZ,2022-05-08 14:00:30,-46.1927,168.8643,49.48,98,100,0.83
54,Flinders,AU,2022-05-08 14:07:59,-34.5833,150.8552,57.18,81,21,3.0
55,Ponta Do Sol,PT,2022-05-08 14:07:59,32.6667,-17.1,72.72,67,6,3.42
56,Tautira,PF,2022-05-08 14:08:00,-17.7333,-149.15,79.75,79,0,3.53
57,Port Elizabeth,ZA,2022-05-08 14:05:25,-33.918,25.5701,66.09,71,65,4.0
58,Port Hardy,CA,2022-05-08 14:08:00,50.6996,-127.4199,41.34,84,69,4.92
59,Tiksi,RU,2022-05-08 14:05:29,71.6872,128.8694,4.96,93,52,4.38
60,Muhos,FI,2022-05-08 14:08:01,64.808,25.9931,42.58,39,36,11.1
61,Busselton,AU,2022-05-08 14:08:01,-33.65,115.3333,59.63,85,0,5.91
62,Obihiro,JP,2022-05-08 14:08:02,42.9172,143.2044,42.26,63,1,8.14
63,Greeneville,US,2022-05-08 14:06:17,36.1632,-82.831,56.68,79,100,8.05
64,Sorong,ID,2022-05-08 14:08:02,-0.8833,131.25,82.49,81,23,5.75
65,Kaitangata,NZ,2022-05-08 14:08:03,-46.2817,169.8464,53.04,96,100,1.74
66,Saint Anthony,US,2022-05-08 14:08:03,45.0205,-93.218,53.38,66,100,13.8
67,Teya,RU,2022-05-08 14:08:04,60.3778,92.6267,25.0,84,100,7.07
68,Neiafu,TO,2022-05-08 14:08:04,-18.65,-173.9833,75.88,94,75,0.0
69,Zhigansk,RU,2022-05-08 14:08:05,66.7697,123.3711,33.26,99,100,7.74
70,Cape Town,ZA,2022-05-08 14:05:02,-33.9258,18.4232,69.28,53,74,5.99
71,Georgiyevka,KZ,2022-05-08 14:08:05,43.0369,74.7114,78.84,36,0,11.18
72,Sao Joao Da Barra,BR,2022-05-08 14:08:06,-21.6403,-41.0511,77.09,63,11,10.67
73,Codrington,AU,2022-05-08 14:08:06,-38.2667,141.9667,47.8,82,19,4.09
74,Umm Lajj,SA,2022-05-08 14:08:06,25.0213,37.2685,84.54,48,2,19.93
75,Atuona,PF,2022-05-08 14:04:57,-9.8,-139.0333,77.94,78,38,16.24
76,Llata,PE,2022-05-08 14:08:07,-9.4167,-76.7833,56.07,72,89,2.51
77,Saint George,US,2022-05-08 14:06:16,37.1041,-113.5841,68.25,20,0,3.0
78,Monki,PL,2022-05-08 14:08:08,53.405,22.7979,59.65,60,100,9.82
